Clase,Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región,Categoría,Sello_calidad
Tinto,Viña Pomal,2018,1126216,Crianza 2018,3.7,544,4.95,Rioja,Crianza,Denominación de Origen
Tinto,Sierra Cantabria,2019,1986382,Murmurón 2019,3.7,30,4.94,Rioja,Roble,Denominación de Origen
Tinto,Bajoz,2020,2586566,Tinta de Toro 2020,3.4,175,3.5,Toro,Roble,Denominación de Origen
Tinto,Bodegas Olarra,2011,1470685,Añares Crianza Rioja 2011,3.3,479,4.3,Rioja,Crianza,Denominación de Origen
Tinto,Pinord,2016,1228657,Penedès Crianza Tempranillo Viña Chatel 2016,3.5,68,4.5,Penedès,Crianza,Denominación de Origen
Tinto,Heredad de Baroja,2018,1442518,Tinto 2018,3.6,111,3.79,Rioja,Crianza,Denominación de Origen
Tinto,Bodegas Príncipe de Viana,2019,1570095,Colección Monovarietales Syrah Roble 2019,3.3,41,3.95,Navarra,Roble,Denominación de Origen
Tinto,Bajoz,2020,2034024,Caño Tempranillo - Garnacha Toro 2020,3.5,249,3.35,Toro,Roble,Denominación de Origen
Tinto,Ca N'Estella,2018,1446183,Clot Dels Oms Petit Tinto 2018,3.4,71,3.94,Penedès,Crianza,Denominación de Origen
Tinto,Bodegas Victorianas,2010,1142014,Monterio Tempranillo 2010,3.1,66,2.0,La Mancha,Gran Reserva,Denominación de Origen
Tinto,Oliveda,2019,1505960,Clos Primat Negre 2019,3.3,89,3.12,Empordà,Roble,Denominación de Origen
Tinto,Oriol Rossell,2019,2292261,Xino-Xano Tinto 2019,3.4,223,4.91,Penedès,Roble,Denominación de Origen
Tinto,Finca Valpiedra,2016,74424,Rioja Cantos de Valpiedra 2016,3.6,666,4.95,Rioja,Reserva,Denominación de Origen
Tinto,Viñas del Vero,2019,23477,Roble Cabernet Sauvignon - Merlot Somontano 2019,3.5,612,4.41,Somontano,Roble,Denominación de Origen
Tinto,Ayuso,2017,1138136,Estola Reserva 2017,3.7,344,4.5,La Mancha,Reserva,Denominación de Origen
Tinto,Borsao Bodegas,2018,1136710,Tinto (Selección / Garnacha) 2018,3.5,840,3.9,Campo de Borja,Crianza,Denominación de Origen
Tinto,René Barbier,2019,1283889,Roble 2019,3.0,114,4.75,Cataluña,Roble,Denominación de Origen
Tinto,Bodegas Aragonesas,2017,1825919,Coto De Hayas Crianza 2017,3.7,165,4.95,Campo de Borja,Crianza,Denominación de Origen
Tinto,Briego,2020,2064350,Vendimia Seleccionada 2020,4.1,51,4.95,Ribera del Duero,Roble,Denominación de Origen
Tinto,Federico Paternina,2017,13190,Banda Azul Crianza 2017,3.5,3038,4.25,Rioja,Crianza,Denominación de Origen
Tinto,Federico Paternina,2018,13190,Banda Azul Crianza 2018,3.5,1870,4.94,Rioja,Crianza,Denominación de Origen
Tinto,Pagos de Aráiz,2020,2449553,Joven 2020,3.3,52,3.5,Navarra,Joven,Denominación de Origen
Tinto,Casa del Valle,2018,1323279,Syrah 2018,3.7,45,4.95,Castilla,Crianza,Sin denominación
Tinto,Bodegas Cosme Palacio,2017,5545219,Glorioso Selección Especial 100 Años Aniversario 2017,3.9,982,4.95,Rioja,Crianza,Denominación de Origen
Tinto,Bodegas Casa Primicia,2018,1879376,Carravalseca Crianza 2018,4.1,61,4.95,Rioja,Crianza,Denominación de Origen
Tinto,Hacienda Albae,2017,2801731,Cabernet Sauvignon 2017,3.7,31,4.95,La Mancha,Crianza,Denominación de Origen
Tinto,Bodegas Olarra,2018,1367561,Cerro Añon Crianza Rioja 2018,4.0,502,4.95,Rioja,Crianza,Denominación de Origen
Tinto,Botas de Barro,2018,5300375,Tempranillo Ribera del Duero 2018,3.7,35,4.95,Ribera del Duero,Crianza,Denominación de Origen
Tinto,Bodegas Aragonesas,2018,1825919,Coto De Hayas Crianza 2018,3.8,197,5.03,Campo de Borja,Crianza,Denominación de Origen
Tinto,De Muller,2020,1403986,Solimar Tinto 2020,3.7,48,5.1,Tarragona,Roble,Denominación de Origen
Tinto,Bodega Pirineos,2017,73344,Montesierra Crianza 2017,3.6,58,5.1,Somontano,Crianza,Denominación de Origen
Tinto,Bodegas la Eralta,2018,9440203,Hacienda El Olmo Crianza 2018,3.9,310,5.12,Rioja,Crianza,Denominación de Origen
Tinto,Solar Viejo,2015,1181896,Crianza 2015,3.6,872,5.13,Rioja,Crianza,Denominación de Origen
Tinto,Bodegas Lagunilla,2018,1129460,Crianza 2018,3.5,656,5.14,Rioja,Crianza,Denominación de Origen
Tinto,Lacrima Baccus,2020,6761071,Més Feliç 2020,3.5,27,5.15,Penedès,Roble,Denominación de Origen
Tinto,Finca La Estacada,2020,5197184,Ocho y Medio Tinto Velasco 2020,3.7,27,5.17,Castilla,Roble,Sin denominación
Tinto,Familia Torres,2020,1385210,Sangre de Toro 2020,3.3,324,5.18,Cataluña,Roble,Denominación de Origen
Tinto,Bodegas Valdemar,2020,15481,Conde de Valdemar Tempranillo 2020,3.6,105,5.18,Rioja,Roble,Denominación de Origen
Tinto,Emendis,2020,3585530,Cabró! Negre Selecció 2020,3.2,102,5.19,Penedès,Roble,Denominación de Origen
Tinto,Señorío de Sarria,2018,1125826,Crianza 2018,3.5,47,5.2,Navarra,Crianza,Denominación de Origen
Tinto,Laudum,2020,3944352,Roble Monastrell - Syrah 2020,3.6,52,5.2,Valencia,Roble,Denominación de Origen
Tinto,Marqués de Griñon,2018,1245440,Crianza (Colección Privada) 2018,3.2,66,5.24,Rioja,Crianza,Denominación de Origen
Tinto,Bodegas Piqueras,2016,1190247,Valcanto  Monastrell 2016,3.8,94,5.25,Almansa,Reserva,Denominación de Origen
Tinto,D Luis R,2019,8451242,Pipiolo Tinto 2019,3.3,140,5.25,Rioja,Roble,Denominación de Origen
Tinto,Clos Pons,2020,9578205,Torracollons Tinto 2020,3.5,42,5.25,Costers del Segre,Roble,Denominación de Origen
Tinto,Atalaya,2020,1193347,Laya 2020,3.7,2108,5.25,Almansa,Roble,Denominación de Origen
Tinto,Oliver Conti,2021,6623844,Indispensable Negre 2021,3.6,89,5.3,Empordà,Joven,Denominación de Origen
Tinto,Bodega Sommos,2020,9902730,Merlot - Cabernet Roble 2020,3.7,336,5.3,Somontano,Roble,Denominación de Origen
Tinto,Oliver Conti,2020,6623844,Indispensable Negre 2020,3.4,136,5.3,Empordà,Roble,Denominación de Origen
Tinto,Pinord,2018,13071,Clos de Torribas Crianza Tempranillo 2018,3.5,77,5.3,Penedès,Crianza,Denominación de Origen
Tinto,Raimat,2020,2057155,Clamor Tinto 2020,3.2,298,5.3,Costers del Segre,Roble,Denominación de Origen
Tinto,Baltasar Gracián,2020,4175593,El Politico Garnacha 2020,3.7,67,5.3,Calatayud,Roble,Denominación de Origen
Tinto,Celler Masroig,2020,98958,Solà Fred 2020,3.6,133,5.31,Montsant,Roble,Denominación de Origen
Tinto,Volver,2020,4486087,Madame Bobalu Bobal 2020,3.7,60,5.32,Valencia,Roble,Denominación de Origen
Tinto,Carlos Serres,2020,1477639,Rioja Tempranillo 2020,3.7,218,5.35,Rioja,Roble,Denominación de Origen
Tinto,Bodegas del Muni,2015,1213318,Corpus del Muni Lucia Selección Tempranillo 2015,3.6,100,5.37,Castilla,Reserva,Sin denominación
Tinto,Honoro Vera,2020,1196853,Garnacha 2020,3.8,908,5.4,Calatayud,Roble,Denominación de Origen
Tinto,Bodegas Olarra,2021,1554308,Reciente Tempranillo Rioja 2021,3.5,36,5.4,Rioja,Joven,Denominación de Origen
Tinto,Castillo de Monjardin,2018,1902249,Clásico Tempranillo 2018,2.8,201,5.43,Navarra,Crianza,Denominación de Origen
Tinto,Alceño,2020,2581921,4 Meses Roble Monastrell 2020,3.6,25,5.45,Jumilla,Roble,Denominación de Origen
Tinto,Segura Viudas,2019,4300311,Garnatxa 2019,3.2,74,5.45,Cataluña,Roble,Denominación de Origen
Tinto,Zuazo Gaston,2018,1162868,Crianza 2018,3.5,274,5.46,Rioja,Crianza,Denominación de Origen
Tinto,Félix Solís,2020,6266660,Mucho Más Tinto N.V.,4.2,39460,5.48,Vino de España,Roble,Sin denominación
Tinto,Bodegas Care,2020,7472718,Tinto Sobre Lías Garnacha - Syrah 2020,3.8,241,5.48,Cariñena,Roble,Denominación de Origen
Tinto,Familia Torres,2019,1152206,Coronas Crianza 2019,3.7,230,5.49,Cataluña,Crianza,Denominación de Origen
Tinto,Yllera,2019,5965659,9 Meses en Barrica Roble Tempranillo 2019,3.5,73,5.5,Ribera del Duero,Roble,Denominación de Origen
Tinto,Bodegas Fontana,2020,1181172,Dominio de Fontana Roble Tempranillo - Syrah 2020,3.6,44,5.5,Castilla,Roble,Sin denominación
Tinto,Bodegas Paco Mulero,2020,8381083,Prisma Monastrell 2020,3.9,118,5.5,Jumilla,Roble,Denominación de Origen
Tinto,Bodegas Fontana,2019,5961872,Dominio de Fontana Garnacha - Syrah 2019,3.6,48,5.5,Uclés,Roble,Denominación de Origen
Tinto,Bodegas Paco Mulero,2020,7373190,Prisma Garnacha Tintorera - Monastrell 2020,3.7,53,5.5,Almansa,Roble,Denominación de Origen
Tinto,Castillo de Monjardin,2020,1902249,Clásico Tempranillo 2020,3.6,41,5.5,Navarra,Roble,Denominación de Origen
Tinto,Bodegas Paco Mulero,2019,7273354,Prisma Garnacha 2019,3.9,30,5.5,Calatayud,Roble,Denominación de Origen
Tinto,Arganza,2019,2451825,Selección Lagar de Robla 2019,3.5,27,5.5,Bierzo,Roble,Denominación de Origen
Tinto,Cercavins,2018,1631420,Lo Virol Tinto 2018,3.1,55,5.5,Costers del Segre,Crianza,Denominación de Origen
Tinto,Eguía,2019,1640526,Crianza Rioja 2019,3.7,28,5.5,Rioja,Crianza,Denominación de Origen
Tinto,Baronia,2020,3383115,Com Gat i Gos Red 2020,3.4,25,5.5,Montsant,Roble,Denominación de Origen
Tinto,Campo Viejo,2018,76784,Crianza 2018,3.7,1606,5.5,Rioja,Crianza,Denominación de Origen
Tinto,Borsao Bodegas,2017,1401444,Bole 2017,3.8,480,5.5,Campo de Borja,Crianza,Denominación de Origen
Tinto,Artuke,2021,2152418,Artuke Rioja 2021,3.8,220,5.52,Rioja,Joven,Denominación de Origen
Tinto,Marqués de Altillo,2015,22815,Crianza 2015,3.4,72,5.54,Rioja,Crianza,Denominación de Origen
Tinto,Viore,2018,4170932,5 Meses en Barrica  Tinto 2018,3.4,93,5.55,Toro,Crianza,Denominación de Origen
Tinto,Marqués de Altillo,2017,22815,Crianza 2017,3.2,230,5.55,Rioja,Crianza,Denominación de Origen
Tinto,Bodegas Príncipe de Viana,2016,1561396,Crianza 2016,3.5,30,5.55,Navarra,Crianza,Denominación de Origen
Tinto,Honoro Vera,2020,2141257,Organic Monastrell 2020,3.7,434,5.55,Jumilla,Roble,Denominación de Origen
Tinto,Castro Ventosa,2021,1151531,El Castro de Valtuille Mencía Joven 2021,3.7,75,5.58,Bierzo,Joven,Denominación de Origen
Tinto,Adernats,2020,9543097,Parabòlic 2020,3.3,97,5.6,Cataluña,Roble,Denominación de Origen
Tinto,Orowines,2019,2034003,Comoloco Monastrell 2019,3.7,325,5.6,Jumilla,Roble,Denominación de Origen
Tinto,Honoro Vera,2018,5722731,Rioja 2018,3.5,801,5.6,Rioja,Crianza,Denominación de Origen
Tinto,Bodegas Faustino,2018,1129392,VII Tempranillo 2018,3.7,7677,5.6,Rioja,Crianza,Denominación de Origen
Tinto,Tridente,2019,6399011,Gota de Arena 2019,3.7,151,5.6,Castilla y León,Roble,Sin denominación
Tinto,Viña Cumbrero,2018,4320358,Rioja Crianza 2018,3.4,114,5.6,Rioja,Crianza,Denominación de Origen
Tinto,Aldonia,2019,1620419,Vendimia 2019,3.7,57,5.61,Rioja,Roble,Denominación de Origen
Tinto,Bodegas Olarra,2019,1470685,Añares Crianza Rioja 2019,3.7,133,5.61,Rioja,Crianza,Denominación de Origen
Tinto,Honoro Vera,2020,5722731,Rioja 2020,3.9,79,5.65,Rioja,Roble,Denominación de Origen
Tinto,Cercavins,2019,1631420,Lo Virol Tinto 2019,2.8,31,5.65,Costers del Segre,Roble,Denominación de Origen
Tinto,Familia Torres,2019,1385210,Sangre de Toro 2019,3.1,435,5.65,Cataluña,Roble,Denominación de Origen
Tinto,Hacienda López de Haro,2020,1921901,Tempranillo 2020,3.7,40,5.65,Rioja,Roble,Denominación de Origen
Tinto,Honoro Vera,2020,2200226,Monastrell 2020,3.9,133,5.65,Jumilla,Roble,Denominación de Origen
Tinto,La Maldita,2020,2723412,Garnacha 2020,3.6,693,5.65,Rioja,Roble,Denominación de Origen
Tinto,Bodegas Javier San Pedro Ortega,2021,3973869,Cueva de Lobos Joven 2021,3.8,55,5.65,Rioja,Joven,Denominación de Origen
Tinto,Bodegas Mano a Mano,2017,1192990,Mano a Mano 2017,3.5,289,5.7,Castilla,Crianza,Sin denominación
Tinto,Federico Paternina,2018,1907606,Banda Oro Crianza 2018,3.5,37,5.7,Rioja,Crianza,Denominación de Origen
Tinto,El Casetero,2018,5564763,Selección Garnacha 2018,3.7,614,5.7,Campo de Borja,Crianza,Denominación de Origen
Tinto,Sierra Salinas,2018,79954,MO Monastrell 2018,3.5,599,5.7,Alicante,Crianza,Denominación de Origen
Tinto,Vinos a Tresbolillo,2015,4162384,Trompo 2015,3.6,119,5.75,Ribera del Duero,Reserva,Denominación de Origen
Tinto,Honoro Vera,2019,5722731,Rioja 2019,3.7,376,5.75,Rioja,Roble,Denominación de Origen
Tinto,Viña Paceta,2018,1633874,Crianza 2018,3.5,230,5.75,Rioja,Crianza,Denominación de Origen
Tinto,Celler Masroig,2021,98958,Solà Fred 2021,3.9,41,5.75,Montsant,Joven,Denominación de Origen
Tinto,Corona de Aragón,2017,4420075,Crianza 2017,3.8,28,5.75,Aragón,Crianza,Sin denominación
Tinto,Luna Beberide,2020,1169128,Mencía Bierzo 2020,3.6,157,5.75,Bierzo,Roble,Denominación de Origen
Tinto,Honoro Vera,2019,2200226,Monastrell 2019,3.9,288,5.75,Jumilla,Roble,Denominación de Origen
Tinto,Viña Paceta,2016,1633874,Crianza 2016,3.3,315,5.75,Rioja,Crianza,Denominación de Origen
Tinto,Bodegas Vallobera,2020,7390364,Malarina 2020,3.7,47,5.8,Rioja,Roble,Denominación de Origen
Tinto,Sierra Salinas,2017,79954,MO Monastrell 2017,3.7,82,5.8,Alicante,Crianza,Denominación de Origen
Tinto,Ederra,2018,1653817,Rioja Crianza 2018,3.6,479,5.84,Rioja,Crianza,Denominación de Origen
Tinto,Viña Bujanda,2018,1219458,Rioja Crianza 2018,3.7,286,5.85,Rioja,Crianza,Denominación de Origen
Tinto,Celler Batea,2019,1311196,Primicia Criança 2019,3.7,32,5.87,Terra Alta,Roble,Denominación de Origen
Tinto,Tercia de Ulea,2018,4318331,Rambla de Ulea Tinto 2018,3.3,25,5.9,Bullas,Crianza,Denominación de Origen
Tinto,Barahonda,2019,5461188,Organic Monastrell - Merlot 2019,3.8,380,5.9,Yecla,Roble,Denominación de Origen
Tinto,Particular,2017,2538450,Cariñena 2017,3.6,87,5.9,Cariñena,Crianza,Denominación de Origen
Tinto,Bobal de San Juan,2020,1743364,Bobal Old Vines (Viñas Viejas) 2020,3.5,56,5.9,Utiel-Requena,Roble,Denominación de Origen
Tinto,Bienbebido,2014,1870840,Come Pollo y Bebe Vino 2014,2.8,83,5.9,Rioja,Gran Reserva,Denominación de Origen
Tinto,Pagos de Aráiz,2019,86346,Navarra Tinto Roble 2019,3.7,112,5.9,Navarra,Roble,Denominación de Origen
Tinto,Puerta Vieja,2018,10331,Crianza 2018,3.4,291,5.9,Rioja,Crianza,Denominación de Origen
Tinto,Bienbebido,2012,1870832,Come Cerdo y Bebe Vino 2012,3.4,32,5.9,Rioja,Gran Reserva,Denominación de Origen
Tinto,Monasterio de Las Vinas,2017,7957055,Reserva Grandes Vinos L'Héritage Cariñena 2017,3.7,141,5.9,Cariñena,Reserva,Denominación de Origen
Tinto,Bodega Otto Bestué,2021,6798141,Garnacha 2021,3.3,37,5.9,Somontano,Joven,Denominación de Origen
Tinto,Monasterio de Las Vinas,2016,7957055,Reserva Grandes Vinos L'Héritage Cariñena 2016,3.9,244,5.9,Cariñena,Reserva,Denominación de Origen
Tinto,Bodegas Valdelana,2020,9172118,Familia Valdelana Cosecha 2020,3.4,116,5.9,Rioja,Roble,Denominación de Origen
Tinto,Peñamonte,2018,1381112,5 Meses en Barrica 2018,3.4,50,5.9,Toro,Crianza,Denominación de Origen
Tinto,Bodegas Valdemar,2021,15481,Conde de Valdemar Tempranillo 2021,3.7,37,5.9,Rioja,Joven,Denominación de Origen
Tinto,Laus,2018,1130857,Crianza 2018,3.5,102,5.9,Somontano,Crianza,Denominación de Origen
Tinto,Particular,2018,2335907,Garnacha Old Vine 2018,3.8,154,5.9,Cariñena,Crianza,Denominación de Origen
Tinto,Bodegas Arraez,2020,1779047,Eduardo Bermejo Tinto 2020,3.6,127,5.9,Valencia,Roble,Denominación de Origen
Tinto,Bodegas Aragonesas,2019,1825919,Coto De Hayas Crianza 2019,3.4,30,5.9,Campo de Borja,Crianza,Denominación de Origen
Tinto,Campo Viejo,2020,6023690,Ecológico 2020,3.6,44,5.9,Rioja,Roble,Denominación de Origen
Tinto,Azabache,2019,2841429,Crianza Vendimia Seleccionada 2019,3.7,40,5.9,Rioja,Crianza,Denominación de Origen
Tinto,Finca La Solana,2021,4381882,Organic Verdecillo 2021,3.5,40,5.9,Murcia,Joven,Sin denominación
Tinto,Barahonda,2020,1172227,Carro 2020,3.8,92,5.9,Yecla,Roble,Denominación de Origen
Tinto,Canopy,2019,6783470,Ganadero 2019,3.7,274,5.9,Méntrida,Roble,Denominación de Origen
Tinto,Castaño,2017,2686164,GSM (Garnacha - Syrah - Monastrell) 2017,3.4,327,5.9,Yecla,Crianza,Denominación de Origen
Tinto,Juan Gil,2021,1134571,Jumilla Yellow Label 2021,3.9,122,5.9,Jumilla,Joven,Denominación de Origen
Tinto,Hoya de Cadenas,2018,4662725,Shiraz Crianza 2018,3.4,73,5.9,Utiel-Requena,Crianza,Denominación de Origen
Tinto,Bo,2020,1206516,Bobal Único 2020,3.6,41,5.9,Utiel-Requena,Roble,Denominación de Origen
Tinto,Raimat,2021,2057155,Clamor Tinto 2021,3.4,66,5.92,Costers del Segre,Joven,Denominación de Origen
Tinto,Castillo Perelada,2018,3343395,3 Finques (Fincas) 2018,3.7,327,5.93,Empordà,Crianza,Denominación de Origen
Tinto,Pittacum,2020,2758426,Petit Pittacum 2020,3.7,341,5.94,Bierzo,Roble,Denominación de Origen
Tinto,Coma d'En Bonet,2020,1902638,Dardell Tinto 2020,3.7,52,5.95,Terra Alta,Roble,Denominación de Origen
Tinto,Pagos del Rey,2018,5050415,Sentero Roble 2018,3.7,103,5.95,Toro,Roble,Denominación de Origen
Tinto,Empordàlia,2020,2026400,Sinols Criança 2020,3.8,61,5.95,Empordà,Roble,Denominación de Origen
Tinto,Lagravera,2020,1945130,Laltre 2020,3.8,125,5.95,Costers del Segre,Roble,Denominación de Origen
Tinto,Celler Cedo Anguera,2020,3016682,Anexe 2020,3.8,29,5.95,Montsant,Roble,Denominación de Origen
Tinto,Finca Antigua,2017,13940,Petit Verdot 2017,3.7,70,5.95,La Mancha,Crianza,Denominación de Origen
Tinto,Tridente,2018,6399011,Gota de Arena 2018,3.7,958,5.95,Castilla y León,Crianza,Sin denominación
Tinto,Bienbebido,2018,1916707,Come Queso y Bebe Vino 2018,3.3,28,5.95,Rioja,Crianza,Denominación de Origen
Tinto,Sant Pere Moixent,2019,6594913,Tinto 2019,3.4,54,5.95,Valencia,Roble,Denominación de Origen
Tinto,Arnegui,2017,1131347,Crianza Rioja 2017,3.6,377,5.95,Rioja,Crianza,Denominación de Origen
Tinto,Juan Gil,2020,1134571,Jumilla Yellow Label 2020,3.9,1273,5.95,Jumilla,Roble,Denominación de Origen
Tinto,Luzon,2021,1378087,Jumilla Monastrell Orgánico San Sulfitos 2021,3.8,29,5.95,Jumilla,Joven,Denominación de Origen
Tinto,El Miracle,2019,76607,120 Anniversary Tinto 2019,3.4,90,5.95,Valencia,Roble,Denominación de Origen
Tinto,Arnegui,2018,1131347,Crianza Rioja 2018,3.7,74,5.95,Rioja,Crianza,Denominación de Origen
Tinto,Viore,2020,10123718,Garnacha Tinta 2020,3.4,53,5.95,Toro,Roble,Denominación de Origen
Tinto,Peñamonte,2019,1381112,5 Meses en Barrica 2019,3.7,88,5.95,Toro,Roble,Denominación de Origen
Tinto,Marqués de Riscal,2020,1282180,Riscal Tempranillo 2020,3.8,37,5.95,Castilla y León,Roble,Sin denominación
Tinto,Peique,2019,2413128,Mencía 2019,3.4,51,5.95,Bierzo,Roble,Denominación de Origen
Tinto,Mas Foraster,2021,4001657,Josep Foraster els Nanos Collita 2021,3.0,60,5.95,Conca de Barberà,Joven,Denominación de Origen
Tinto,Volver,2020,84148,Wrongo Dongo Monastrell 2020,3.6,81,5.95,Jumilla,Roble,Denominación de Origen
Tinto,Fariña,2021,2045160,Primero 2021,3.8,193,5.95,Toro,Joven,Denominación de Origen
Tinto,Telmo Rodriguez,2020,2568897,Al-Muvedre Tinto Monastrell 2020,3.4,153,5.95,Alicante,Roble,Denominación de Origen
Tinto,Martin Berdugo,2021,1158443,Joven 2021,3.7,72,5.95,Ribera del Duero,Joven,Denominación de Origen
Tinto,Campillo,2020,1910299,El Niño de Campillo Rioja 2020,3.6,173,5.97,Rioja,Roble,Denominación de Origen
Tinto,Pío del Ramo,2016,1913616,Pio Ecológico Tinto 2016,3.5,36,5.98,Murcia,Reserva,Sin denominación
Tinto,Borsao Bodegas,2018,1401444,Bole 2018,3.7,65,5.99,Campo de Borja,Crianza,Denominación de Origen
Tinto,Urbion,2017,1903520,Cuvée Tinto 2017,3.5,109,5.99,Rioja,Crianza,Denominación de Origen
Tinto,Yllera,2018,1149907,12 Meses en Barrica Tempranillo 2018,3.8,270,5.99,Ribera del Duero,Crianza,Denominación de Origen
Tinto,Monteabellon,2020,2035736,A Cappela Roble 2020,3.4,57,5.99,Ribera del Duero,Roble,Denominación de Origen
Tinto,Bodegas Piqueras,2019,7066578,El Abuelo de Piqueras Crianza 2019,4.1,95,5.99,Almansa,Crianza,Denominación de Origen
Tinto,Celler Ronadelles - Cap de Ruc,2016,1543238,Flor del Montsant Criança 2016,3.6,191,5.99,Montsant,Reserva,Denominación de Origen
Tinto,Félix Solís,2020,7657778,Kingpin N.V.,4.0,3916,5.99,Vino de España,Roble,Sin denominación
Tinto,Félix Solís,2020,9240299,Mucho Más Tinto - Black Edition N.V.,4.1,1265,5.99,Vino de España,Roble,Sin denominación
Tinto,Bodegas Piqueras,2018,1184425,Valcanto Syrah 2018,3.7,131,6.0,Almansa,Crianza,Denominación de Origen
Tinto,Bernavi,2019,6574923,Xalera Tinto 2019,3.3,119,6.0,Terra Alta,Roble,Denominación de Origen
Tinto,Puerta Vieja,2017,10331,Crianza 2017,3.5,338,6.03,Rioja,Crianza,Denominación de Origen
Tinto,Arnegui,2016,1131347,Crianza Rioja 2016,3.6,677,6.05,Rioja,Crianza,Denominación de Origen
Tinto,Familia Torres,2017,3385833,Mas Rabell 2017,3.7,1190,6.05,Cataluña,Crianza,Denominación de Origen
Tinto,Ca N'Estruc,2019,1222462,Negre 2019,3.3,102,6.05,Cataluña,Roble,Denominación de Origen
Tinto,Baltasar Gracián,2016,4175593,El Politico Garnacha 2016,3.6,390,6.1,Calatayud,Reserva,Denominación de Origen
Tinto,Bodegas Nekeas,2020,1515445,Cepa x Cepa Garnacha 2020,3.9,65,6.1,Navarra,Roble,Denominación de Origen
Tinto,Castro Ventosa,2020,1151531,El Castro de Valtuille Mencía Joven 2020,3.8,400,6.1,Bierzo,Joven,Denominación de Origen
Tinto,Fuentespina,2020,5954096,3 Meses 2020,3.3,75,6.1,Ribera del Duero,Roble,Denominación de Origen
Tinto,Bodegas Faustino,2019,1142455,Crianza 2019,3.7,148,6.15,Rioja,Crianza,Denominación de Origen
Tinto,Herència Altés,2018,1205748,Garnatxa Negra 2018,3.8,532,6.16,Terra Alta,Crianza,Denominación de Origen
Tinto,Altos Ibéricos,2018,1759011,Crianza 2018,3.7,273,6.16,Rioja,Crianza,Denominación de Origen
Tinto,Federico Paternina,2016,1182290,Rioja Reserva 2016,3.7,925,6.17,Rioja,Reserva,Denominación de Origen
Tinto,Tagonius,2016,1148206,Tinto Roble 2016,3.6,149,6.18,Madrid,Roble,Denominación de Origen
Tinto,Volver,2020,1170617,Paso a Paso Tempranillo 2020,3.7,114,6.18,Castilla,Roble,Sin denominación
Tinto,Emendis,2020,6394928,Ull de Llebre - Sumoll 2020,3.3,103,6.2,Penedès,Roble,Denominación de Origen
Tinto,Bodegas Faustino,2020,1178638,Tinto 2020,3.4,77,6.2,Rioja,Roble,Denominación de Origen
Tinto,Toresanas,2017,3797044,Orot Roble 2017,3.8,63,6.25,Toro,Roble,Denominación de Origen
Tinto,Campo Viejo,2017,4387046,Crianza Vendimia Seleccionada 2017,3.7,313,6.25,Rioja,Crianza,Denominación de Origen
